tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_csd	measurement_date	measurement_dec	measurement_demagn_code	measurement_description	measurement_elevation	measurement_flag	measurement_freq	measurement_height	measurement_inc	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magn_mass	measurement_magn_moment	measurement_magn_volume	measurement_magnitude	measurement_number	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_positions	measurement_r2	measurement_sd	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_sweep_rate	measurement_temp	measurement_temp_change	measurement_time_zone	treatment_ac_field	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_dc_field_phi	treatment_dc_field_theta	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
	This study				DSDP Site 522			15-1-013	15-1-013	15-1-013		15-1-013-LP-AF-DIR		LT-AF-Z											268.5				g			-41.2					0.00000291				1												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-013	15-1-013	15-1-013		15-1-013-LP-ARM		LT-AF-I															g								0.000179				2												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-013	15-1-013	15-1-013		15-1-013-LP-IRM		LT-IRM															g								0.0036				3												u		300			0				1										300			
	This study				DSDP Site 522			15-1-013	15-1-013	15-1-013		15-1-013-LP-X		LP-X			0.000000238												g												4												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-022	15-1-022	15-1-022		15-1-022-LP-AF-DIR		LT-AF-Z											181				g			68.6					0.0000112				5												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-022	15-1-022	15-1-022		15-1-022-LP-ARM		LT-AF-I															g								0.0003				6												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-022	15-1-022	15-1-022		15-1-022-LP-IRM		LT-IRM															g								0.00619				7												u		300			0				1										300			
	This study				DSDP Site 522			15-1-022	15-1-022	15-1-022		15-1-022-LP-X		LP-X			0.00000041												g												8												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-024	15-1-024	15-1-024		15-1-024-LP-AF-DIR		LT-AF-Z											124.5				g			63.7					0.00000539				9												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-024	15-1-024	15-1-024		15-1-024-LP-ARM		LT-AF-I															g								0.000329				10												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-024	15-1-024	15-1-024		15-1-024-LP-IRM		LT-IRM															g								0.00681				11												u		300			0				1										300			
	This study				DSDP Site 522			15-1-024	15-1-024	15-1-024		15-1-024-LP-X		LP-X			0.000000464												g												12												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-028	15-1-028	15-1-028		15-1-028-LP-AF-DIR		LT-AF-Z											123.2				g			59.9					0.00000269				13												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-028	15-1-028	15-1-028		15-1-028-LP-ARM		LT-AF-I															g								0.000179				14												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-028	15-1-028	15-1-028		15-1-028-LP-IRM		LT-IRM															g								0.00339				15												u		300			0				1										300			
	This study				DSDP Site 522			15-1-028	15-1-028	15-1-028		15-1-028-LP-X		LP-X			0.000000228												g												16												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-031	15-1-031	15-1-031		15-1-031-LP-AF-DIR		LT-AF-Z											155.1				g			52.8					0.00000344				17												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-031	15-1-031	15-1-031		15-1-031-LP-ARM		LT-AF-I															g								0.000171				18												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-031	15-1-031	15-1-031		15-1-031-LP-IRM		LT-IRM															g								0.00331				19												u		300			0				1										300			
	This study				DSDP Site 522			15-1-031	15-1-031	15-1-031		15-1-031-LP-X		LP-X			0.000000225												g												20												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-035	15-1-035	15-1-035		15-1-035-LP-AF-DIR		LT-AF-Z											144.2				g			72.3					0.00000408				21												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-035	15-1-035	15-1-035		15-1-035-LP-ARM		LT-AF-I															g								0.000222				22												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-035	15-1-035	15-1-035		15-1-035-LP-IRM		LT-IRM															g								0.00439				23												u		300			0				1										300			
	This study				DSDP Site 522			15-1-035	15-1-035	15-1-035		15-1-035-LP-X		LP-X			0.000000308												g												24												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-039	15-1-039	15-1-039		15-1-039-LP-AF-DIR		LT-AF-Z											127.5				g			65.9					0.00000438				25												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-039	15-1-039	15-1-039		15-1-039-LP-ARM		LT-AF-I															g								0.000256				26												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-039	15-1-039	15-1-039		15-1-039-LP-IRM		LT-IRM															g								0.00504				27												u		300			0				1										300			
	This study				DSDP Site 522			15-1-039	15-1-039	15-1-039		15-1-039-LP-X		LP-X			0.000000357												g												28												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-041	15-1-041	15-1-041		15-1-041-LP-AF-DIR		LT-AF-Z											355				g			-46.1					0.000003				29												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-041	15-1-041	15-1-041		15-1-041-LP-ARM		LT-AF-I															g								0.00031				30												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-041	15-1-041	15-1-041		15-1-041-LP-IRM		LT-IRM															g								0.00606				31												u		300			0				1										300			
	This study				DSDP Site 522			15-1-041	15-1-041	15-1-041		15-1-041-LP-X		LP-X			0.000000443												g												32												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-045	15-1-045	15-1-045		15-1-045-LP-AF-DIR		LT-AF-Z											2.4				g			-11.8					0.00000142				33												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-045	15-1-045	15-1-045		15-1-045-LP-ARM		LT-AF-I															g								0.000283				34												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-045	15-1-045	15-1-045		15-1-045-LP-IRM		LT-IRM															g								0.00548				35												u		300			0				1										300			
	This study				DSDP Site 522			15-1-045	15-1-045	15-1-045		15-1-045-LP-X		LP-X			0.000000397												g												36												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-047	15-1-047	15-1-047		15-1-047-LP-AF-DIR		LT-AF-Z											357				g			-47.4					0.00000651				37												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-047	15-1-047	15-1-047		15-1-047-LP-ARM		LT-AF-I															g								0.000284				38												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-047	15-1-047	15-1-047		15-1-047-LP-IRM		LT-IRM															g								0.00566				39												u		300			0				1										300			
	This study				DSDP Site 522			15-1-047	15-1-047	15-1-047		15-1-047-LP-X		LP-X			0.000000406												g												40												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-051	15-1-051	15-1-051		15-1-051-LP-AF-DIR		LT-AF-Z											348.7				g			-30.9					0.00000571				41												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-051	15-1-051	15-1-051		15-1-051-LP-ARM		LT-AF-I															g								0.000308				42												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-051	15-1-051	15-1-051		15-1-051-LP-IRM		LT-IRM															g								0.00596				43												u		300			0				1										300			
	This study				DSDP Site 522			15-1-051	15-1-051	15-1-051		15-1-051-LP-X		LP-X			0.000000428												g												44												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-054	15-1-054	15-1-054		15-1-054-LP-AF-DIR		LT-AF-Z											14.2				g			-49.6					0.00000935				45												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-054	15-1-054	15-1-054		15-1-054-LP-ARM		LT-AF-I															g								0.000254				46												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-054	15-1-054	15-1-054		15-1-054-LP-IRM		LT-IRM															g								0.00505				47												u		300			0				1										300			
	This study				DSDP Site 522			15-1-054	15-1-054	15-1-054		15-1-054-LP-X		LP-X			0.000000358												g												48												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-057	15-1-057	15-1-057		15-1-057-LP-AF-DIR		LT-AF-Z											0.9				g			-50.4					0.0000106				49												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-057	15-1-057	15-1-057		15-1-057-LP-ARM		LT-AF-I															g								0.000242				50												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-057	15-1-057	15-1-057		15-1-057-LP-IRM		LT-IRM															g								0.00512				51												u		300			0				1										300			
	This study				DSDP Site 522			15-1-057	15-1-057	15-1-057		15-1-057-LP-X		LP-X			0.000000368												g												52												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-060	15-1-060	15-1-060		15-1-060-LP-AF-DIR		LT-AF-Z											6.4				g			-46.1					0.00000999				53												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-060	15-1-060	15-1-060		15-1-060-LP-ARM		LT-AF-I															g								0.000203				54												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-060	15-1-060	15-1-060		15-1-060-LP-IRM		LT-IRM															g								0.00424				55												u		300			0				1										300			
	This study				DSDP Site 522			15-1-060	15-1-060	15-1-060		15-1-060-LP-X		LP-X			0.000000313												g												56												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-063	15-1-063	15-1-063		15-1-063-LP-AF-DIR		LT-AF-Z											347.6				g			-41.3					0.00000892				57												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-063	15-1-063	15-1-063		15-1-063-LP-ARM		LT-AF-I															g								0.000213				58												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-063	15-1-063	15-1-063		15-1-063-LP-IRM		LT-IRM															g								0.00448				59												u		300			0				1										300			
	This study				DSDP Site 522			15-1-063	15-1-063	15-1-063		15-1-063-LP-X		LP-X			0.000000333												g												60												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-066	15-1-066	15-1-066		15-1-066-LP-AF-DIR		LT-AF-Z											359.7				g			-51.9					0.0000092				61												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-066	15-1-066	15-1-066		15-1-066-LP-ARM		LT-AF-I															g								0.000204				62												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-066	15-1-066	15-1-066		15-1-066-LP-IRM		LT-IRM															g								0.00431				63												u		300			0				1										300			
	This study				DSDP Site 522			15-1-066	15-1-066	15-1-066		15-1-066-LP-X		LP-X			0.000000315												g												64												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-069	15-1-069	15-1-069		15-1-069-LP-AF-DIR		LT-AF-Z											359.1				g			-52					0.00000786				65												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-069	15-1-069	15-1-069		15-1-069-LP-ARM		LT-AF-I															g								0.000203				66												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-069	15-1-069	15-1-069		15-1-069-LP-IRM		LT-IRM															g								0.00419				67												u		300			0				1										300			
	This study				DSDP Site 522			15-1-069	15-1-069	15-1-069		15-1-069-LP-X		LP-X			0.000000305												g												68												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-072	15-1-072	15-1-072		15-1-072-LP-AF-DIR		LT-AF-Z											347.5				g			-39.3					0.0000073				69												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-072	15-1-072	15-1-072		15-1-072-LP-ARM		LT-AF-I															g								0.00019				70												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-072	15-1-072	15-1-072		15-1-072-LP-IRM		LT-IRM															g								0.00397				71												u		300			0				1										300			
	This study				DSDP Site 522			15-1-072	15-1-072	15-1-072		15-1-072-LP-X		LP-X			0.000000284												g												72												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-075	15-1-075	15-1-075		15-1-075-LP-AF-DIR		LT-AF-Z											347.3				g			-37					0.0000065				73												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-075	15-1-075	15-1-075		15-1-075-LP-ARM		LT-AF-I															g								0.000179				74												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-075	15-1-075	15-1-075		15-1-075-LP-IRM		LT-IRM															g								0.00371				75												u		300			0				1										300			
	This study				DSDP Site 522			15-1-075	15-1-075	15-1-075		15-1-075-LP-X		LP-X			0.000000257												g												76												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-079	15-1-079	15-1-079		15-1-079-LP-AF-DIR		LT-AF-Z											359.5				g			-50.5					0.00000561				77												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-079	15-1-079	15-1-079		15-1-079-LP-ARM		LT-AF-I															g								0.000161				78												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-079	15-1-079	15-1-079		15-1-079-LP-IRM		LT-IRM															g								0.00348				79												u		300			0				1										300			
	This study				DSDP Site 522			15-1-079	15-1-079	15-1-079		15-1-079-LP-X		LP-X			0.000000238												g												80												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-082	15-1-082	15-1-082		15-1-082-LP-AF-DIR		LT-AF-Z											13.7				g			-50.5					0.00000664				81												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-082	15-1-082	15-1-082		15-1-082-LP-ARM		LT-AF-I															g								0.000198				82												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-082	15-1-082	15-1-082		15-1-082-LP-IRM		LT-IRM															g								0.00411				83												u		300			0				1										300			
	This study				DSDP Site 522			15-1-082	15-1-082	15-1-082		15-1-082-LP-X		LP-X			0.000000277												g												84												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-085	15-1-085	15-1-085		15-1-085-LP-AF-DIR		LT-AF-Z											1.8				g			-45.7					0.00000621				85												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-085	15-1-085	15-1-085		15-1-085-LP-ARM		LT-AF-I															g								0.000204				86												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-085	15-1-085	15-1-085		15-1-085-LP-IRM		LT-IRM															g								0.00387				87												u		300			0				1										300			
	This study				DSDP Site 522			15-1-085	15-1-085	15-1-085		15-1-085-LP-X		LP-X			0.000000265												g												88												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-088	15-1-088	15-1-088		15-1-088-LP-AF-DIR		LT-AF-Z											9.7				g			-44.5					0.00000739				89												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-088	15-1-088	15-1-088		15-1-088-LP-ARM		LT-AF-I															g								0.000177				90												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-088	15-1-088	15-1-088		15-1-088-LP-IRM		LT-IRM															g								0.00352				91												u		300			0				1										300			
	This study				DSDP Site 522			15-1-088	15-1-088	15-1-088		15-1-088-LP-X		LP-X			0.000000243												g												92												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-091	15-1-091	15-1-091		15-1-091-LP-AF-DIR		LT-AF-Z											4.8				g			-45					0.00000565				93												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-091	15-1-091	15-1-091		15-1-091-LP-ARM		LT-AF-I															g								0.000168				94												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-091	15-1-091	15-1-091		15-1-091-LP-IRM		LT-IRM															g								0.0031				95												u		300			0				1										300			
	This study				DSDP Site 522			15-1-091	15-1-091	15-1-091		15-1-091-LP-X		LP-X			0.000000212												g												96												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-094	15-1-094	15-1-094		15-1-094-LP-AF-DIR		LT-AF-Z											11.9				g			-48.8					0.00000525				97												u		300			0.015				0										300			
	This study				DSDP Site 522			15-1-094	15-1-094	15-1-094		15-1-094-LP-ARM		LT-AF-I															g								0.000154				98												u		300			0.08				0.00005										300			
	This study				DSDP Site 522			15-1-094	15-1-094	15-1-094		15-1-094-LP-IRM		LT-IRM															g								0.00284				99												u		300			0				1										300			
	This study				DSDP Site 522			15-1-094	15-1-094	15-1-094		15-1-094-LP-X		LP-X			0.000000194												g												100												u		300			0.01				0										300			
	This study				DSDP Site 522			15-1-097	15-1-097	15-1-097		15-1-097-LP-AF-DIR		LT-AF-Z											357.1				g			-30.3					0.00000498				101												u		300			0.015				0										300			
